Ville: Bourg-en-Bresse, Dept: 84, Hab: 43 454
Ville: Laon, Dept: 32, Hab: 26 031
Ville: Saint-Quentin, Dept: 32, Hab: 55 940
Ville: Soissons, Dept: 32, Hab: 29 417
Ville: Montluçon, Dept: 84, Hab: 37 417
Ville: Gap, Dept: 93, Hab: 42 567
Ville: Antibes, Dept: 93, Hab: 74 982
Ville: Cagnes-sur-Mer, Dept: 93, Hab: 50 385
Ville: Cannes, Dept: 93, Hab: 75 046
Ville: Le Cannet, Dept: 93, Hab: 42 056
Ville: Grasse, Dept: 93, Hab: 51 705
Ville: Menton, Dept: 93, Hab: 28 942
Ville: Nice, Dept: 93, Hab: 345 998
Ville: Saint-Laurent-du-Var, Dept: 93, Hab: 28 831
Ville: Vallauris, Dept: 93, Hab: 26 787
Ville: Charleville-Mézières, Dept: 44, Hab: 48 420
Ville: Troyes, Dept: 44, Hab: 61 988
Ville: Carcassonne, Dept: 76, Hab: 47 418
Ville: Narbonne, Dept: 76, Hab: 55 001
Ville: Rodez, Dept: 76, Hab: 25 747
Ville: Aix-en-Provence, Dept: 93, Hab: 146 385
Ville: Arles, Dept: 93, Hab: 53 807
Ville: Aubagne, Dept: 93, Hab: 45 711
Ville: La Ciotat, Dept: 93, Hab: 35 758
Ville: Istres, Dept: 93, Hab: 44 248
Ville: Marignane, Dept: 93, Hab: 33 949
Ville: Marseille, Dept: 93, Hab: 870 018
Ville: Martigues, Dept: 93, Hab: 49 310
Ville: Miramas, Dept: 93, Hab: 26 217
Ville: Salon-de-Provence, Dept: 93, Hab: 46 225
Ville: Vitrolles, Dept: 93, Hab: 34 301
Ville: Caen, Dept: 28, Hab: 108 461
Ville: Aurillac, Dept: 84, Hab: 27 659
Ville: Angoulême, Dept: 75, Hab: 44 629
Ville: La Rochelle, Dept: 75, Hab: 78 623
Ville: Saintes, Dept: 75, Hab: 26 890
Ville: Bourges, Dept: 24, Hab: 67 841
Ville: Vierzon, Dept: 24, Hab: 27 036
Ville: Brive-la-Gaillarde, Dept: 75, Hab: 48 333
Ville: Ajaccio, Dept: 94, Hab: 70 063
Ville: Bastia, Dept: 94, Hab: 45 596
Ville: Dijon, Dept: 27, Hab: 159 031
Ville: Saint-Brieuc, Dept: 53, Hab: 47 058
Ville: Bergerac, Dept: 75, Hab: 28 166
Ville: Périgueux, Dept: 75, Hab: 31 505
Ville: Besançon, Dept: 27, Hab: 120 107
Ville: Montbéliard, Dept: 27, Hab: 26 015
Ville: Montélimar, Dept: 84, Hab: 39 924
Ville: Romans-sur-Isère, Dept: 84, Hab: 34 095
Ville: Valence, Dept: 84, Hab: 64 322
Ville: Évreux, Dept: 28, Hab: 51 560
Ville: Chartres, Dept: 24, Hab: 40 195
Ville: Dreux, Dept: 24, Hab: 31 575
Ville: Brest, Dept: 53, Hab: 142 629
Ville: Quimper, Dept: 53, Hab: 66 743
Ville: Alès, Dept: 76, Hab: 41 129
Ville: Nîmes, Dept: 76, Hab: 154 196
Ville: Colomiers, Dept: 76, Hab: 39 200
Ville: Muret, Dept: 76, Hab: 25 961
Ville: Toulouse, Dept: 76, Hab: 482 738
Ville: Tournefeuille, Dept: 76, Hab: 27 008
Ville: Bègles, Dept: 75, Hab: 28 092
Ville: Bordeaux, Dept: 75, Hab: 256 045
Ville: Gradignan, Dept: 75, Hab: 26 029
Ville: Libourne, Dept: 75, Hab: 25 491
Ville: Mérignac, Dept: 75, Hab: 71 203
Ville: Pessac, Dept: 75, Hab: 62 737
Ville: Saint-Médard-en-Jalles, Dept: 75, Hab: 31 576
Ville: Talence, Dept: 75, Hab: 44 040
